sample_id,total_c_ug,total_n_ug,site_id,zone,soil_depth,site_treatment,treatment
N1-CO2-10-soil-15,1346.9,101.92,N1,north,15,N1-CO2,CO2
N1-CO2-10-soil-15-D,1383.44,104.48,N1,north,#NAME?,N1-CO2,CO2
N1-CO2-10-soil-30,901.44,82.15,N1,north,30,N1-CO2,CO2
N1-CO2-10-soil-60,602.91,54.36,N1,north,60,N1-CO2,CO2
N1-CO2-1-soil-15,1297.79,112.8,N1,north,15,N1-CO2,CO2
N1-CO2-1-soil-30,1055,94.85,N1,north,30,N1-CO2,CO2
N1-CO2-1-soil-60,405.01,33.64,N1,north,60,N1-CO2,CO2
N1-CO2-2-soil-15,1273.17,114.46,N1,north,15,N1-CO2,CO2
N1-CO2-2-soil-30,541.1,48.88,N1,north,30,N1-CO2,CO2
N1-CO2-2-soil-30-D,1357.81,117.92,N1,north,#NAME?,N1-CO2,CO2
N1-CO2-3-soil-15,1349.63,125.64,N1,north,15,N1-CO2,CO2
N1-CO2-3-soil-30,1072.85,102.48,N1,north,30,N1-CO2,CO2
N1-CO2-3-soil-60,268.29,24.7,N1,north,60,N1-CO2,CO2
N1-CO2-4-soil-15,1061.83,96.83,N1,north,15,N1-CO2,CO2
N1-CO2-4-soil-30,1050.58,98.84,N1,north,30,N1-CO2,CO2
N1-CO2-5-soil-15,1223.59,114.4,N1,north,15,N1-CO2,CO2
N1-CO2-5-soil-30,707.35,67.42,N1,north,30,N1-CO2,CO2
N1-CO2-6-soil-15,1083.87,108.69,N1,north,15,N1-CO2,CO2
N1-CO2-6-soil-30,751.84,72.78,N1,north,30,N1-CO2,CO2
N1-CO2-7-soil-15,1089.85,101.13,N1,north,15,N1-CO2,CO2
N1-CO2-7-soil-30,737.74,72.75,N1,north,30,N1-CO2,CO2
N1-CO2-7-soil-60,594.88,55.03,N1,north,60,N1-CO2,CO2
N1-CO2-8-soil-15,410.7,34.68,N1,north,15,N1-CO2,CO2
N1-CO2-8-soil-15-D,1165.02,107.63,N1,north,#NAME?,N1-CO2,CO2
N1-CO2-8-soil-30,745.63,69.72,N1,north,30,N1-CO2,CO2
N1-CO2-8-soil-60,503.74,45.69,N1,north,60,N1-CO2,CO2
N1-CO2-9-soil-15,860.55,83.94,N1,north,15,N1-CO2,CO2
N1-CO2-9-soil-30,672.21,63.46,N1,north,30,N1-CO2,CO2
N1-CO2-9-soil-60,391.38,35.48,N1,north,60,N1-CO2,CO2
N1-CON-10-soil-15,1817.63,156.11,N1,north,15,N1-CON,CON
N1-CON-10-soil-30,357.65,34.13,N1,north,30,N1-CON,CON
N1-CON-10-soil-60,664.57,64.07,N1,north,60,N1-CON,CON
N1-CON-1-soil-15,1389.42,121.5,N1,north,15,N1-CON,CON
N1-CON-1-soil-30,769.62,76.26,N1,north,30,N1-CON,CON
N1-CON-1-soil-60,609.88,59.31,N1,north,60,N1-CON,CON
N1-CON-2-soil-15,1199.63,118.06,N1,north,15,N1-CON,CON
N1-CON-2-soil-30,1050.8,106.43,N1,north,30,N1-CON,CON
N1-CON-2-soil-60,582.07,60.05,N1,north,60,N1-CON,CON
N1-CON-4-soil-15,1451.83,142.76,N1,north,15,N1-CON,CON
N1-CON-4-soil-30,794.18,77.92,N1,north,30,N1-CON,CON
N1-CON-4-soil-60,561.28,57.5,N1,north,60,N1-CON,CON
N1-CON-5-soil-15,1476.24,132.1,N1,north,15,N1-CON,CON
N1-CON-5-soil-30,915.31,86.66,N1,north,30,N1-CON,CON
N1-CON-5-soil-60,1196.54,103.04,N1,north,60,N1-CON,CON
N1-CON-6-soil-15,1229.43,116.04,N1,north,15,N1-CON,CON
N1-CON-6-soil-30,667.37,67.46,N1,north,30,N1-CON,CON
N1-CON-6-soil-60,424.1,44.93,N1,north,60,N1-CON,CON
N1-CON-7-soil-15,1380.57,138.15,N1,north,15,N1-CON,CON
N1-CON-7-soil-30,1030.4,100.23,N1,north,30,N1-CON,CON
N1-CON-7-soil-60,475.91,48.09,N1,north,60,N1-CON,CON
N1-CON-8-soil-15,1103.51,110.95,N1,north,15,N1-CON,CON
N1-CON-8-soil-30,980.31,96.92,N1,north,30,N1-CON,CON
N1-CON-8-soil-60,467.46,45.93,N1,north,60,N1-CON,CON
N1-CON-9-soil-15,1159.05,109.96,N1,north,15,N1-CON,CON
N1-CON-9-soil-30,821.06,84.55,N1,north,30,N1-CON,CON
N1-CON-9-soil-60,417.83,42.96,N1,north,60,N1-CON,CON
N2-CO2-10-soil-15,766.69,60.25,N2,north,15,N2-CO2,CO2
N2-CO2-10-soil-30,521.41,48.26,N2,north,30,N2-CO2,CO2
N2-CO2-1-soil-15,1283.63,115.52,N2,north,15,N2-CO2,CO2
N2-CO2-1-soil-30,1191.06,114.34,N2,north,30,N2-CO2,CO2
N2-CO2-1-soil-60,644.99,67.44,N2,north,60,N2-CO2,CO2
N2-CO2-2-soil-15,1244.32,100.28,N2,north,15,N2-CO2,CO2
N2-CO2-2-soil-30,1071.02,89.99,N2,north,30,N2-CO2,CO2
N2-CO2-2-soil-60,555.16,52.72,N2,north,60,N2-CO2,CO2
N2-CO2-3-soil-15,1704.06,150.49,N2,north,15,N2-CO2,CO2
N2-CO2-3-soil-30,904.21,85.53,N2,north,30,N2-CO2,CO2
N2-CO2-3-soil-60,507.46,51.3,N2,north,60,N2-CO2,CO2
N2-CO2-4-soil-15,1229.43,105.3,N2,north,15,N2-CO2,CO2
N2-CO2-4-soil-30,920.85,84.41,N2,north,30,N2-CO2,CO2
N2-CO2-4-soil-60,490.43,48.54,N2,north,60,N2-CO2,CO2
N2-CO2-5-soil-15,912.27,81.55,N2,north,15,N2-CO2,CO2
N2-CO2-5-soil-30,806.95,74.8,N2,north,30,N2-CO2,CO2
N2-CO2-5-soil-60,492.03,50.64,N2,north,60,N2-CO2,CO2
N2-CO2-6-soil-15,1110.42,92.54,N2,north,15,N2-CO2,CO2
N2-CO2-6-soil-30,799.65,77.05,N2,north,30,N2-CO2,CO2
N2-CO2-6-soil-60,818.08,7.25,N2,north,60,N2-CO2,CO2
N2-CO2-7-soil-15,1313.32,111.92,N2,north,15,N2-CO2,CO2
N2-CO2-7-soil-30,996.04,92.12,N2,north,30,N2-CO2,CO2
N2-CO2-7-soil-60,560.78,56.39,N2,north,60,N2-CO2,CO2
N2-CO2-8-soil-30,525.66,51.78,N2,north,30,N2-CO2,CO2
N2-CO2-8-soil-60,310.31,32.83,N2,north,60,N2-CO2,CO2
N2-CO2-9-soil-15,923.62,86.66,N2,north,15,N2-CO2,CO2
N2-CO2-9-soil-30,787.45,74.8,N2,north,30,N2-CO2,CO2
N2-CO2-9-soil-60,1136.15,108.13,N2,north,60,N2-CO2,CO2
N2-CON-10-soil-15,1117.37,105.79,N2,north,15,N2-CON,CON
N2-CON-10-soil-30,881.47,83.63,N2,north,30,N2-CON,CON
N2-CON-10-soil-60,497.82,52.41,N2,north,60,N2-CON,CON
N2-CON-1-soil-15,1097.16,107.51,N2,north,15,N2-CON,CON
N2-CON-1-soil-60,332.15,32.38,N2,north,60,N2-CON,CON
N2-CON-2-soil-15,633.76,61.25,N2,north,15,N2-CON,CON
N2-CON-2-soil-30,528.11,52.28,N2,north,30,N2-CON,CON
N2-CON-2-soil-60,728.88,61.81,N2,north,60,N2-CON,CON
N2-CON-3-soil-15,1184,111.97,N2,north,15,N2-CON,CON
N2-CON-3-soil-60,631.33,63.84,N2,north,60,N2-CON,CON
N2-CON-4-soil-15,962.4,96.83,N2,north,15,N2-CON,CON
N2-CON-4-soil-30,552.87,56.38,N2,north,30,N2-CON,CON
N2-CON-4-soil-60,543.25,54.31,N2,north,60,N2-CON,CON
N2-CON-5-soil-15,913.78,91.67,N2,north,15,N2-CON,CON
N2-CON-5-soil-30,857.93,87.53,N2,north,30,N2-CON,CON
N2-CON-5-soil-60,411.72,37.19,N2,north,60,N2-CON,CON
N2-CON-6-soil-15,889.69,90.64,N2,north,15,N2-CON,CON
N2-CON-6-soil-30,762.37,79.89,N2,north,30,N2-CON,CON
N2-CON-6-soil-60,430.32,43.13,N2,north,60,N2-CON,CON
N2-CON-7-soil-15,1538.84,122.76,N2,north,15,N2-CON,CON
N2-CON-7-soil-30,843.12,80.45,N2,north,30,N2-CON,CON
N2-CON-7-soil-60,607.15,60.95,N2,north,60,N2-CON,CON
N2-CON-8-soil-15,269.15,24.09,N2,north,15,N2-CON,CON
N2-CON-8-soil-30,793.03,77.06,N2,north,30,N2-CON,CON
N2-CON-8-soil-60,591.63,59.3,N2,north,60,N2-CON,CON
N2-CON-9-soil-15,1100.31,102.34,N2,north,15,N2-CON,CON
N2-CON-9-soil-30,702.25,68.15,N2,north,30,N2-CON,CON
N2-CON-9-soil-60,450.17,46.04,N2,north,60,N2-CON,CON
N3-CO2-10-soil-15,820,74.92,N3,north,15,N3-CO2,CO2
N3-CO2-10-soil-30,647.77,68.02,N3,north,30,N3-CO2,CO2
N3-CO2-1-soil-15,1338.72,65.77,N3,north,15,N3-CO2,CO2
N3-CO2-1-soil-30,591.68,22.05,N3,north,30,N3-CO2,CO2
N3-CO2-1-soil-60,1028.31,8.57,N3,north,60,N3-CO2,CO2
N3-CO2-2-soil-15,1536.73,59.01,N3,north,15,N3-CO2,CO2
N3-CO2-2-soil-30,1048.04,39.44,N3,north,30,N3-CO2,CO2
N3-CO2-2-soil-60,915.72,15.72,N3,north,60,N3-CO2,CO2
N3-CO2-3-soil-30,515.78,53.85,N3,north,30,N3-CO2,CO2
N3-CO2-3-soil-35,1262.91,127.07,N3,north,35,N3-CO2,CO2
N3-CO2-4-soil-15,1863.35,144.66,N3,north,15,N3-CO2,CO2
N3-CO2-4-soil-60,261.54,25.65,N3,north,60,N3-CO2,CO2
N3-CO2-5-soil-15,1523.14,121.43,N3,north,15,N3-CO2,CO2
N3-CO2-5-soil-30,1143.98,88.62,N3,north,30,N3-CO2,CO2
N3-CO2-5-soil-60,863.37,68.1,N3,north,60,N3-CO2,CO2
N3-CO2-6-soil-15,1352.45,96.73,N3,north,15,N3-CO2,CO2
N3-CO2-6-soil-30,445.36,43.53,N3,north,30,N3-CO2,CO2
N3-CO2-6-soil-60,289.59,28.49,N3,north,60,N3-CO2,CO2
N3-CO2-7-soil-15,1435.79,23.75,N3,north,15,N3-CO2,CO2
N3-CO2-7-soil-30,1278.67,10.3,N3,north,30,N3-CO2,CO2
N3-CO2-8-soil-15,1398.63,47.69,N3,north,15,N3-CO2,CO2
N3-CO2-8-soil-30,1363.25,61.26,N3,north,30,N3-CO2,CO2
N3-CO2-8-soil-60,1321.22,5.06,N3,north,60,N3-CO2,CO2
N3-CO2-9-soil-15,851.46,79.89,N3,north,15,N3-CO2,CO2
N3-CO2-9-soil-30,560.78,59.55,N3,north,30,N3-CO2,CO2
N3-CO2-9-soil-60,1207.51,3.92,N3,north,60,N3-CO2,CO2
N3-CO2-soil-60,154.39,11.54,N3,north,60,N3-CO2,CO2
N3-CON-10-soil-15,2953.38,232.59,N3,north,15,N3-CON,CON
N3-CON-10-soil-30,1219.53,90.16,N3,north,30,N3-CON,CON
N3-CON-10-soil-60,601.59,38.53,N3,north,60,N3-CON,CON
N3-CON-1-soil-15,2084.63,165.83,N3,north,15,N3-CON,CON
N3-CON-1-soil-60,1493.64,92.88,N3,north,60,N3-CON,CON
N3-CON-2-soil-15,2281.81,178.15,N3,north,15,N3-CON,CON
N3-CON-2-soil-30,877.68,81.87,N3,north,30,N3-CON,CON
N3-CON-2-soil-60,239.13,19.88,N3,north,60,N3-CON,CON
N3-CON-3-soil-15,2596.2,204.51,N3,north,15,N3-CON,CON
N3-CON-3-soil-30,771.4,70.27,N3,north,30,N3-CON,CON
N3-CON-3-soil-60,133.25,13.16,N3,north,60,N3-CON,CON
N3-CON-4-soil-15,3567.81,275.32,N3,north,15,N3-CON,CON
N3-CON-4-soil-30,1165.57,108.12,N3,north,30,N3-CON,CON
N3-CON-4-soil-60,172.95,16.45,N3,north,60,N3-CON,CON
N3-CON-5-soil-15,2737.31,214.76,N3,north,15,N3-CON,CON
N3-CON-5-soil-15-D,557.41,52.13,N3,north,#NAME?,N3-CON,CON
N3-CON-5-soil-60,98.74,10.51,N3,north,60,N3-CON,CON
N3-CON-6-soil-15,1588.29,142.02,N3,north,15,N3-CON,CON
N3-CON-6-soil-30,324.88,28.79,N3,north,30,N3-CON,CON
N3-CON-7-soil-15,1341.45,122.25,N3,north,15,N3-CON,CON
N3-CON-7-soil-15-D,105.1,11.08,N3,north,#NAME?,N3-CON,CON
N3-CON-7-soil-30,461.06,45.3,N3,north,30,N3-CON,CON
N3-CON-8-soil-15,3026.04,238.96,N3,north,15,N3-CON,CON
N3-CON-8-soil-30,380.32,39.25,N3,north,30,N3-CON,CON
N3-CON-8-soil-60,111.38,10.58,N3,north,60,N3-CON,CON
N3-CON-8-soil-60-D,156.97,14.6,N3,north,#NAME?,N3-CON,CON
N3-CON-9-soil-15,2440.86,204.56,N3,north,15,N3-CON,CON
N3-CON-9-soil-30,106.7,10.19,N3,north,30,N3-CON,CON
N3-CON-9-soil-60,138.1,12.34,N3,north,60,N3-CON,CON
N4-CO2-10-soil-15,1470.48,42.41,N4,north,15,N4-CO2,CO2
N4-CO2-10-soil-30,862.13,9.13,N4,north,30,N4-CO2,CO2
N4-CO2-10-soil-60,834.78,75.93,N4,north,60,N4-CO2,CO2
N4-CO2-1-soil-15,1912.86,86.32,N4,north,15,N4-CO2,CO2
N4-CO2-1-soil-30,1268.9,15.82,N4,north,30,N4-CO2,CO2
N4-CO2-1-soil-60,119.18,10.4,N4,north,60,N4-CO2,CO2
N4-CO2-2-soil-15,1466.53,31.31,N4,north,15,N4-CO2,CO2
N4-CO2-2-soil-30,1296.9,17.69,N4,north,30,N4-CO2,CO2
N4-CO2-2-soil-60,84.48,9.99,N4,north,60,N4-CO2,CO2
N4-CO2-3-soil-15,1741.39,79.6,N4,north,15,N4-CO2,CO2
N4-CO2-3-soil-30,742.84,23.12,N4,north,30,N4-CO2,CO2
N4-CO2-3-soil-60,72.37,3.76,N4,north,60,N4-CO2,CO2
N4-CO2-4-soil-15,2641.31,209.8,N4,north,15,N4-CO2,CO2
N4-CO2-4-soil-30,201.43,11.77,N4,north,30,N4-CO2,CO2
N4-CO2-4-soil-60,70.37,3.32,N4,north,60,N4-CO2,CO2
N4-CO2-5-soil-15,2748.36,174.88,N4,north,15,N4-CO2,CO2
N4-CO2-5-soil-30,659.08,46.62,N4,north,30,N4-CO2,CO2
N4-CO2-5-soil-60,307.56,27.18,N4,north,60,N4-CO2,CO2
N4-CO2-6-soil-15,4008.46,249.75,N4,north,15,N4-CO2,CO2
N4-CO2-6-soil-30,815.86,60.58,N4,north,30,N4-CO2,CO2
N4-CO2-7-soil-15,3854.09,256.46,N4,north,15,N4-CO2,CO2
N4-CO2-7-soil-30,1031.32,73.1,N4,north,30,N4-CO2,CO2
N4-CO2-8-soil-15,1825.75,71.81,N4,north,15,N4-CO2,CO2
N4-CO2-8-soil-30,361.44,14.01,N4,north,30,N4-CO2,CO2
N4-CO2-8-soil-30-D,817.15,32.33,N4,north,#NAME?,N4-CO2,CO2
N4-CO2-8-soil-60,3042.59,244.82,N4,north,60,N4-CO2,CO2
N4-CO2-9-soil-15,1997.15,100.93,N4,north,15,N4-CO2,CO2
N4-CO2-9-soil-30,1479.11,47.71,N4,north,30,N4-CO2,CO2
N4-CO2-9-soil-60,520.72,10.26,N4,north,60,N4-CO2,CO2
N4-CON-10-soil-15,1231.39,45.67,N4,north,15,N4-CON,CON
N4-CON-10-soil-30,1033.44,49.03,N4,north,30,N4-CON,CON
N4-CON-10-soil-60,900.88,40.22,N4,north,60,N4-CON,CON
N4-CON-1-soil-15,2215.83,167.85,N4,north,15,N4-CON,CON
N4-CON-1-soil-30,522.17,52.62,N4,north,30,N4-CON,CON
N4-CON-1-soil-60,210.76,23.02,N4,north,60,N4-CON,CON
N4-CON-2-soil-15,2155.8,150.03,N4,north,15,N4-CON,CON
N4-CON-2-soil-30,644.24,55.07,N4,north,30,N4-CON,CON
N4-CON-2-soil-60,77.84,10.17,N4,north,60,N4-CON,CON
N4-CON-3-soil-15,1510.29,68.8,N4,north,15,N4-CON,CON
N4-CON-3-soil-30,1914.4,129.23,N4,north,30,N4-CON,CON
N4-CON-3-soil-60,815.1,53.98,N4,north,60,N4-CON,CON
N4-CON-4-soil-15,1710.74,100.73,N4,north,15,N4-CON,CON
N4-CON-4-soil-30,810.8,73.41,N4,north,30,N4-CON,CON
N4-CON-4-soil-60,1058.05,56.7,N4,north,60,N4-CON,CON
N4-CON-5-soil-15,1448.95,75.16,N4,north,15,N4-CON,CON
N4-CON-6-soil-15,1313.28,115.56,N4,north,15,N4-CON,CON
N4-CON-6-soil-30,558.85,57,N4,north,30,N4-CON,CON
N4-CON-6-soil-60,178.52,20.27,N4,north,60,N4-CON,CON
N4-CON-7-soil-15,1681.5,154.83,N4,north,15,N4-CON,CON
N4-CON-7-soil-30,653.37,71.98,N4,north,30,N4-CON,CON
N4-CON-7-soil-60,332.15,39.16,N4,north,60,N4-CON,CON
N4-CON-8-soil-15,1304.75,112.44,N4,north,15,N4-CON,CON
N4-CON-8-soil-30,434.48,44.17,N4,north,30,N4-CON,CON
N4-CON-8-soil-60,138.49,16.46,N4,north,60,N4-CON,CON
N4-CON-9-soil-15,1855.5,122.41,N4,north,15,N4-CON,CON
N4-CON-9-soil-30,913.01,69.55,N4,north,30,N4-CON,CON
N4-CON-9-soil-60,520,40.1,N4,north,60,N4-CON,CON
N7-CO2-10-soil-15,1379.49,107.05,N7,north,15,N7-CO2,CO2
N7-CO2-10-soil-30,746.25,66.46,N7,north,30,N7-CO2,CO2
N7-CO2-1-soil-15,700.94,58.99,N7,north,15,N7-CO2,CO2
N7-CO2-1-soil-30,740.39,71.35,N7,north,30,N7-CO2,CO2
N7-CO2-1-soil-60,532.2,51.75,N7,north,60,N7-CO2,CO2
N7-CO2-2-soil-15,1066.33,93.69,N7,north,15,N7-CO2,CO2
N7-CO2-2-soil-30,695.78,66.95,N7,north,30,N7-CO2,CO2
N7-CO2-2-soil-60,370.47,33.86,N7,north,60,N7-CO2,CO2
N7-CO2-3-soil-15,946.09,83.26,N7,north,15,N7-CO2,CO2
N7-CO2-3-soil-30,563.9,55.58,N7,north,30,N7-CO2,CO2
N7-CO2-4-soil-15,837.56,74.8,N7,north,15,N7-CO2,CO2
N7-CO2-4-soil-30,490.38,46.74,N7,north,30,N7-CO2,CO2
N7-CO2-4-soil-60,254.82,22.82,N7,north,60,N7-CO2,CO2
N7-CO2-5-soil-15,1130.14,96.57,N7,north,15,N7-CO2,CO2
N7-CO2-5-soil-30,628.15,59.55,N7,north,30,N7-CO2,CO2
N7-CO2-5-soil-60,347.17,32.71,N7,north,60,N7-CO2,CO2
N7-CO2-6-soil-15,1028.52,75.41,N7,north,15,N7-CO2,CO2
N7-CO2-6-soil-30,656.32,56.08,N7,north,30,N7-CO2,CO2
N7-CO2-6-soil-60,284.39,26.22,N7,north,60,N7-CO2,CO2
N7-CO2-7-soil-15,979.84,81.27,N7,north,15,N7-CO2,CO2
N7-CO2-7-soil-30,671.63,65.13,N7,north,30,N7-CO2,CO2
N7-CO2-7-soil-60,388.91,36.57,N7,north,60,N7-CO2,CO2
N7-CO2-8-soil-15,1033.47,82.59,N7,north,15,N7-CO2,CO2
N7-CO2-8-soil-30,766.97,66.53,N7,north,30,N7-CO2,CO2
N7-CO2-8-soil-60,426.59,40.87,N7,north,60,N7-CO2,CO2
N7-CO2-9-soil-15,845.5,74.75,N7,north,15,N7-CO2,CO2
N7-CO2-9-soil-30,728.88,68.59,N7,north,30,N7-CO2,CO2
N7-CO2-9-soil-60,909.76,81.58,N7,north,60,N7-CO2,CO2
N7-CO2-9-soil-60-D,867.31,88.45,N7,north,#NAME?,N7-CO2,CO2
N7-CON-10-soil-15,1133.4,100.22,N7,north,15,N7-CON,CON
N7-CON-10-soil-30,639.92,62.47,N7,north,30,N7-CON,CON
N7-CON-10-soil-60,512.96,46.96,N7,north,60,N7-CON,CON
N7-CON-1-soil-15,997.5,95.47,N7,north,15,N7-CON,CON
N7-CON-1-soil-30,609.35,59.15,N7,north,30,N7-CON,CON
N7-CON-1-soil-60,351.99,33.85,N7,north,60,N7-CON,CON
N7-CON-2-soil-15,694.21,63.84,N7,north,15,N7-CON,CON
N7-CON-2-soil-30,562.44,57.62,N7,north,30,N7-CON,CON
N7-CON-2-soil-60,342.51,32.8,N7,north,60,N7-CON,CON
N7-CON-3-soil-15,1431.25,142.58,N7,north,15,N7-CON,CON
N7-CON-3-soil-15-D,1374.14,113.21,N7,north,#NAME?,N7-CON,CON
N7-CON-3-soil-30,684.16,71.41,N7,north,30,N7-CON,CON
N7-CON-3-soil-30-D,717.77,67.2,N7,north,#NAME?,N7-CON,CON
N7-CON-3-soil-60,363.16,38.01,N7,north,60,N7-CON,CON
N7-CON-3-soil-60-D,219.39,21.03,N7,north,#NAME?,N7-CON,CON
N7-CON-4-soil-15,981.76,86.1,N7,north,15,N7-CON,CON
N7-CON-4-soil-30,591.35,57.23,N7,north,30,N7-CON,CON
N7-CON-4-soil-60,309.44,27.99,N7,north,60,N7-CON,CON
N7-CON-5-soil-15,1096.49,88.35,N7,north,15,N7-CON,CON
N7-CON-5-soil-30,493.25,49.16,N7,north,30,N7-CON,CON
N7-CON-5-soil-60,329.48,29.91,N7,north,60,N7-CON,CON
N7-CON-6-soil-15,832.74,74.88,N7,north,15,N7-CON,CON
N7-CON-6-soil-30,513.19,53.09,N7,north,30,N7-CON,CON
N7-CON-6-soil-60,292.43,27.7,N7,north,60,N7-CON,CON
N7-CON-7-soil-15,1242.74,104.11,N7,north,15,N7-CON,CON
N7-CON-7-soil-30,545.89,53.95,N7,north,30,N7-CON,CON
N7-CON-7-soil-60,326.48,30.86,N7,north,60,N7-CON,CON
N7-CON-8-soil-15,1047.99,86.09,N7,north,15,N7-CON,CON
N7-CON-8-soil-30,657.46,65.67,N7,north,30,N7-CON,CON
N7-CON-8-soil-60,286.76,28.37,N7,north,60,N7-CON,CON
N7-CON-9-soil-15,1236.78,105.76,N7,north,15,N7-CON,CON
N7-CON-9-soil-30,541.42,53.95,N7,north,30,N7-CON,CON
S1-CO2-10-soil-15,2562.8,125.96,S1,south,15,S1-CO2,CO2
