sample_id,total_c_ug,total_n_ug,site_id,zone,soil_depth,site_treatment,treatment
S1-CO2-10-soil-30,2807.96,104.13,S1,south,30,S1-CO2,CO2
S1-CO2-1-soil-15,773.08,55.02,S1,south,15,S1-CO2,CO2
S1-CO2-1-soil-30,496.24,34.88,S1,south,30,S1-CO2,CO2
S1-CO2-1-soil-60,326.14,20.56,S1,south,60,S1-CO2,CO2
S1-CO2-2-soil-15,390.43,29.22,S1,south,15,S1-CO2,CO2
S1-CO2-2-soil-30,312.3,24.98,S1,south,30,S1-CO2,CO2
S1-CO2-2-soil-90,656.17,45.32,S1,south,90,S1-CO2,CO2
S1-CO2-2-soil-90-D,285.77,18.86,S1,south,#NAME?,S1-CO2,CO2
S1-CO2-3-soil-15,1156.04,83.1,S1,south,15,S1-CO2,CO2
S1-CO2-3-soil-30,790.25,58.77,S1,south,30,S1-CO2,CO2
S1-CO2-3-soil-60,204.28,17.02,S1,south,60,S1-CO2,CO2
S1-CO2-3-soil-60-D,664.83,47.07,S1,south,#NAME?,S1-CO2,CO2
S1-CO2-4-soil-15,1085.07,80.54,S1,south,15,S1-CO2,CO2
S1-CO2-4-soil-15-D,1328.22,101.09,S1,south,#NAME?,S1-CO2,CO2
S1-CO2-4-soil-60,834.08,58.56,S1,south,60,S1-CO2,CO2
S1-CO2-5-soil-15,1133.13,84.47,S1,south,15,S1-CO2,CO2
S1-CO2-6-soil-120,503.02,35.45,S1,south,20,S1-CO2,CO2
S1-CO2-6-soil-15,954.22,71.68,S1,south,15,S1-CO2,CO2
S1-CO2-6-soil-30,783.72,59.7,S1,south,30,S1-CO2,CO2
S1-CO2-6-soil-60,651.35,50.36,S1,south,60,S1-CO2,CO2
S1-CO2-6-soil-90,465.6,31.93,S1,south,90,S1-CO2,CO2
S1-CO2-7-soil-15,873.39,65.12,S1,south,15,S1-CO2,CO2
S1-CO2-7-soil-30,689.75,52.72,S1,south,30,S1-CO2,CO2
S1-CO2-7-soil-60,583.04,44.46,S1,south,60,S1-CO2,CO2
S1-CO2-8-soil-15,626.57,49.88,S1,south,15,S1-CO2,CO2
S1-CO2-8-soil-30,302.95,24.74,S1,south,30,S1-CO2,CO2
S1-CO2-8-soil-60,349.15,27.24,S1,south,60,S1-CO2,CO2
S1-CO2-9-soil-15,3623.59,168.42,S1,south,15,S1-CO2,CO2
S1-CO2-9-soil-30,2476.92,98.55,S1,south,30,S1-CO2,CO2
S1-CO2-9-soil-60,700.94,69.72,S1,south,60,S1-CO2,CO2
S1-CON-10-soil-15,573.57,34.71,S1,south,15,S1-CON,CON
S1-CON-10-soil-30,205.91,13.32,S1,south,30,S1-CON,CON
S1-CON-10-soil-60,149.96,10.38,S1,south,60,S1-CON,CON
S1-CON-1-soil-15,730.12,42.72,S1,south,15,S1-CON,CON
S1-CON-1-soil-30,422.71,29.05,S1,south,30,S1-CON,CON
S1-CON-2-soil-15,611.24,43.94,S1,south,15,S1-CON,CON
S1-CON-2-soil-15-D,718.84,47.03,S1,south,#NAME?,S1-CON,CON
S1-CON-2-soil-30,421.63,29.41,S1,south,30,S1-CON,CON
S1-CON-2-soil-60,352.94,22.58,S1,south,60,S1-CON,CON
S1-CON-3-soil-15,547.4,37.76,S1,south,15,S1-CON,CON
S1-CON-3-soil-15-D,203.87,13.77,S1,south,#NAME?,S1-CON,CON
S1-CON-3-soil-30,259,16.32,S1,south,30,S1-CON,CON
S1-CON-3-soil-60,222.54,12.31,S1,south,60,S1-CON,CON
S1-CON-4-soil-15,459.41,43.23,S1,south,15,S1-CON,CON
S1-CON-4-soil-30,254.54,16.23,S1,south,30,S1-CON,CON
S1-CON-4-soil-60,154.11,11.09,S1,south,60,S1-CON,CON
S1-CON-5-soil-15,370.3,22.45,S1,south,15,S1-CON,CON
S1-CON-5-soil-30,197.2,12.93,S1,south,30,S1-CON,CON
S1-CON-6-soil-15,465.2,31.44,S1,south,15,S1-CON,CON
S1-CON-6-soil-30,223.68,14.89,S1,south,30,S1-CON,CON
S1-CON-6-soil-60,164.54,11.81,S1,south,60,S1-CON,CON
S1-CON-7-soil-15,473.38,29.53,S1,south,15,S1-CON,CON
S1-CON-7-soil-30,237.98,16.87,S1,south,30,S1-CON,CON
S1-CON-8-soil-15,440.26,29.68,S1,south,15,S1-CON,CON
S1-CON-8-soil-30,194.31,13.29,S1,south,30,S1-CON,CON
S1-CON-8-soil-60,130.61,9.4,S1,south,60,S1-CON,CON
S1-CON-9-soil-15,588.82,40.57,S1,south,15,S1-CON,CON
S1-CON-9-soil-30,323.82,21.75,S1,south,30,S1-CON,CON
S1-CON-9-soil-60,195.58,12.12,S1,south,60,S1-CON,CON
S3-CO2-10-soil-15,1296,102.91,S3,south,15,S3-CO2,CO2
S3-CO2-10-soil-30,641.47,50.96,S3,south,30,S3-CO2,CO2
S3-CO2-10-soil-60,342.1,26.91,S3,south,60,S3-CO2,CO2
S3-CO2-1-soil-15,885.61,48.39,S3,south,15,S3-CO2,CO2
S3-CO2-1-soil-30,415.29,24.99,S3,south,30,S3-CO2,CO2
S3-CO2-1-soil-60,190.89,11.43,S3,south,60,S3-CO2,CO2
S3-CO2-2-soil-15,988.98,83.89,S3,south,15,S3-CO2,CO2
S3-CO2-2-soil-30,771.97,63.88,S3,south,30,S3-CO2,CO2
S3-CO2-2-soil-60,788.67,65.93,S3,south,60,S3-CO2,CO2
S3-CO2-3-soil-15,1334.38,90.77,S3,south,15,S3-CO2,CO2
S3-CO2-3-soil-30,564.13,47.3,S3,south,30,S3-CO2,CO2
S3-CO2-3-soil-30-D,732.2,54.09,S3,south,#NAME?,S3-CO2,CO2
S3-CO2-3-soil-60,312.3,25.1,S3,south,60,S3-CO2,CO2
S3-CO2-3-soil-60-D,1080.67,92.37,S3,south,#NAME?,S3-CO2,CO2
S3-CO2-4-soil-15,800.61,69.2,S3,south,15,S3-CO2,CO2
S3-CO2-4-soil-30,531.95,44.36,S3,south,30,S3-CO2,CO2
S3-CO2-4-soil-60,492.34,39.47,S3,south,60,S3-CO2,CO2
S3-CO2-5-soil-15,880.95,75,S3,south,15,S3-CO2,CO2
S3-CO2-5-soil-30,638.28,52.25,S3,south,30,S3-CO2,CO2
S3-CO2-6-soil-15,1318.64,113.65,S3,south,15,S3-CO2,CO2
S3-CO2-6-soil-30,943.8,75.25,S3,south,30,S3-CO2,CO2
S3-CO2-6-soil-60,233.26,16.33,S3,south,60,S3-CO2,CO2
S3-CO2-7-soil-15,586.85,51.26,S3,south,15,S3-CO2,CO2
S3-CO2-7-soil-30,449.85,38.63,S3,south,30,S3-CO2,CO2
S3-CO2-8-soil-60,279.09,20.93,S3,south,60,S3-CO2,CO2
S3-CO2-9-soil-15,1402.61,117.88,S3,south,15,S3-CO2,CO2
S3-CO2-9-soil-30,522.49,34.66,S3,south,30,S3-CO2,CO2
S3-CO2-9-soil-30-D,530.96,48.65,S3,south,#NAME?,S3-CO2,CO2
S3-CO2-9-soil-60,465.17,38.88,S3,south,60,S3-CO2,CO2
S3-CON-10-soil-15,1708.09,131.95,S3,south,15,S3-CON,CON
S3-CON-10-soil-30,1143.9,96.24,S3,south,30,S3-CON,CON
S3-CON-10-soil-60,783,60.04,S3,south,60,S3-CON,CON
S3-CON-1-soil-60,916.74,62.83,S3,south,60,S3-CON,CON
S3-CON-2-soil-15,2112.86,163.12,S3,south,15,S3-CON,CON
S3-CON-2-soil-15-D,1061.1,91.67,S3,south,#NAME?,S3-CON,CON
S3-CON-2-soil-30,1125,92.46,S3,south,30,S3-CON,CON
S3-CON-2-soil-60,979.69,78.68,S3,south,60,S3-CON,CON
S3-CON-3-soil-15,961.79,87.9,S3,south,15,S3-CON,CON
S3-CON-3-soil-30,812.71,71.83,S3,south,30,S3-CON,CON
S3-CON-3-soil-30-D,825.77,76.02,S3,south,#NAME?,S3-CON,CON
S3-CON-3-soil-60,483.85,40.1,S3,south,60,S3-CON,CON
S3-CON-4-soil-15,1062.1,94.24,S3,south,15,S3-CON,CON
S3-CON-4-soil-30,791.51,71.97,S3,south,30,S3-CON,CON
S3-CON-4-soil-60,386.25,31.49,S3,south,60,S3-CON,CON
S3-CON-5-soil-30,994.84,86.08,S3,south,30,S3-CON,CON
S3-CON-5-soil-60,622.54,51.48,S3,south,60,S3-CON,CON
S3-CON-6-soil-15,1132.48,80.35,S3,south,15,S3-CON,CON
S3-CON-6-soil-30,707.14,57.88,S3,south,30,S3-CON,CON
S3-CON-7-soil-15,1245.62,104.09,S3,south,15,S3-CON,CON
S3-CON-7-soil-30,1067.27,84.79,S3,south,30,S3-CON,CON
S3-CON-7-soil-60,820.77,66.73,S3,south,60,S3-CON,CON
S3-CON-8-soil-15,1195.46,96.96,S3,south,15,S3-CON,CON
S3-CON-8-soil-30,631.42,48.26,S3,south,30,S3-CON,CON
S3-CON-9-soil-15,1269.52,103.03,S3,south,15,S3-CON,CON
S3-CON-9-soil-30,830.04,68.45,S3,south,30,S3-CON,CON
S3-CON-9-soil-60,586.6,41.57,S3,south,60,S3-CON,CON
S4-CO2-10-soil-30,442.48,32.38,S4,south,30,S4-CO2,CO2
S4-CO2-10-soil-60,1027.26,53.65,S4,south,60,S4-CO2,CO2
S4-CO2-10-soil-90,281.08,19.73,S4,south,90,S4-CO2,CO2
S4-CO2-1-soil-15,1012.42,72.03,S4,south,15,S4-CO2,CO2
S4-CO2-1-soil-30,334.98,26.62,S4,south,30,S4-CO2,CO2
S4-CO2-1-soil-90,228.83,14.13,S4,south,90,S4-CO2,CO2
S4-CO2-2-soil-15,882.01,73.11,S4,south,15,S4-CO2,CO2
S4-CO2-2-soil-30,380.3,29.62,S4,south,30,S4-CO2,CO2
S4-CO2-2-soil-60,394.52,27.39,S4,south,60,S4-CO2,CO2
S4-CO2-2-soil-90,230.47,15.83,S4,south,90,S4-CO2,CO2
S4-CO2-3-soil-15,898.67,73.67,S4,south,15,S4-CO2,CO2
S4-CO2-3-soil-30,540.84,45.67,S4,south,30,S4-CO2,CO2
S4-CO2-3-soil-60,400.1,28.6,S4,south,60,S4-CO2,CO2
S4-CO2-4-soil-15,1136.05,80.07,S4,south,15,S4-CO2,CO2
S4-CO2-4-soil-30,600.1,42.04,S4,south,30,S4-CO2,CO2
S4-CO2-4-soil-60,263.76,16.91,S4,south,60,S4-CO2,CO2
S4-CO2-4-soil-90,868.13,58.42,S4,south,90,S4-CO2,CO2
S4-CO2-4-soil-90-D,241.88,14.37,S4,south,#NAME?,S4-CO2,CO2
S4-CO2-5-soil-15,700.94,47.3,S4,south,15,S4-CO2,CO2
S4-CO2-5-soil-30,383.13,30.63,S4,south,30,S4-CO2,CO2
S4-CO2-5-soil-60,261.06,17.31,S4,south,60,S4-CO2,CO2
S4-CO2-6-soil-15,1574.8,86.7,S4,south,15,S4-CO2,CO2
S4-CO2-6-soil-30,546.73,37.69,S4,south,30,S4-CO2,CO2
S4-CO2-6-soil-60,323.05,21.41,S4,south,60,S4-CO2,CO2
S4-CO2-7-soil-15,1439.39,90.05,S4,south,15,S4-CO2,CO2
S4-CO2-7-soil-30,797.45,55.29,S4,south,30,S4-CO2,CO2
S4-CO2-7-soil-60,306.2,18.59,S4,south,60,S4-CO2,CO2
S4-CO2-7-soil-90,516.3,29.93,S4,south,90,S4-CO2,CO2
S4-CO2-8-soil-15,1149.25,83.08,S4,south,15,S4-CO2,CO2
S4-CO2-8-soil-15-D1,325.85,24.2,S4,south,D1,S4-CO2,CO2
S4-CO2-8-soil-15-D2,1101.41,78.81,S4,south,D2,S4-CO2,CO2
S4-CO2-8-soil-30,846.41,55.45,S4,south,30,S4-CO2,CO2
S4-CO2-8-soil-60,543.92,33.46,S4,south,60,S4-CO2,CO2
S4-CO2-8-soil-90,207.99,13.86,S4,south,90,S4-CO2,CO2
S4-CO2-9-soil-15,962.93,70.23,S4,south,15,S4-CO2,CO2
S4-CO2-9-soil-30,2026.88,141.45,S4,south,30,S4-CO2,CO2
S4-CO2-9-soil-60,222.22,16.29,S4,south,60,S4-CO2,CO2
S4-CO2-9-soil-90,481.97,30.01,S4,south,90,S4-CO2,CO2
S4-CON-10-soil-30,776.31,52.89,S4,south,30,S4-CON,CON
S4-CON-10-soil-60,819.35,49.59,S4,south,60,S4-CON,CON
S4-CON-1-soil-15,1233.84,83.67,S4,south,15,S4-CON,CON
S4-CON-1-soil-15-D,1391.05,90.37,S4,south,#NAME?,S4-CON,CON
S4-CON-1-soil-30,801.38,44.7,S4,south,30,S4-CON,CON
S4-CON-1-soil-60,1368.69,70.85,S4,south,60,S4-CON,CON
S4-CON-2-soil,557.04,21.4,S4,south,il,S4-CON,CON
S4-CON-2-soil-15,1292.33,85.53,S4,south,15,S4-CON,CON
S4-CON-2-soil-30,696.63,37.56,S4,south,30,S4-CON,CON
S4-CON-3-soil-15,1260.42,82.86,S4,south,15,S4-CON,CON
S4-CON-3-soil-30,226.17,11.26,S4,south,30,S4-CON,CON
S4-CON-3-soil-60,371.35,18.99,S4,south,60,S4-CON,CON
S4-CON-3-soil-90,349.15,17.13,S4,south,90,S4-CON,CON
S4-CON-4-soil-15,915.31,83.84,S4,south,15,S4-CON,CON
S4-CON-4-soil-30,388.79,18.21,S4,south,30,S4-CON,CON
S4-CON-4-soil-60,154.88,8.74,S4,south,60,S4-CON,CON
S4-CON-5-soil-15,1068.32,67.94,S4,south,15,S4-CON,CON
S4-CON-5-soil-30,332.15,16.34,S4,south,30,S4-CON,CON
S4-CON-5-soil-60,314.76,14.47,S4,south,60,S4-CON,CON
S4-CON-6-soil-30,1059.07,71.41,S4,south,30,S4-CON,CON
S4-CON-6-soil-30-D,800.53,42.94,S4,south,#NAME?,S4-CON,CON
S4-CON-6-soil-60,241.39,15.24,S4,south,60,S4-CON,CON
S4-CON-7-soil-15,1049.33,70.83,S4,south,15,S4-CON,CON
S4-CON-7-soil-30,837.3,52.46,S4,south,30,S4-CON,CON
S4-CON-7-soil-60,868.13,45.94,S4,south,60,S4-CON,CON
S4-CON-8-soil-15,1178.08,77.9,S4,south,15,S4-CON,CON
S4-CON-8-soil-30,873.68,54.53,S4,south,30,S4-CON,CON
S4-CON-8-soil-60,301.1,19.08,S4,south,60,S4-CON,CON
S4-CON-9-soil-15,1138.9,77.06,S4,south,15,S4-CON,CON
S4-CON-9-soil-60,1088.32,53.36,S4,south,60,S4-CON,CON
S5-CO2-10-soil-15,780.21,51.82,S5,south,15,S5-CO2,CO2
S5-CO2-10-soil-30,585.96,37.7,S5,south,30,S5-CO2,CO2
S5-CO2-10-soil-40,610.29,41.85,S5,south,40,S5-CO2,CO2
S5-CO2-1-soil-15,816.51,55.14,S5,south,15,S5-CO2,CO2
S5-CO2-1-soil-30,604.26,37.2,S5,south,30,S5-CO2,CO2
S5-CO2-2-soil-15,610.33,41.83,S5,south,15,S5-CO2,CO2
S5-CO2-2-soil-30,625.9,36.12,S5,south,30,S5-CO2,CO2
S5-CO2-2-soil-60,477.76,28.85,S5,south,60,S5-CO2,CO2
S5-CO2-2-soil-90,143.83,8.37,S5,south,90,S5-CO2,CO2
S5-CO2-3-soil-120,377.62,23.02,S5,south,20,S5-CO2,CO2
S5-CO2-3-soil-15,738.93,54.07,S5,south,15,S5-CO2,CO2
S5-CO2-3-soil-30,499.94,33.74,S5,south,30,S5-CO2,CO2
S5-CO2-3-soil-60,470.69,46.62,S5,south,60,S5-CO2,CO2
S5-CO2-3-soil-60-D,220.66,14.77,S5,south,#NAME?,S5-CO2,CO2
S5-CO2-3-soil-90,352.77,23.42,S5,south,90,S5-CO2,CO2
S5-CO2-4-soil-15,674.19,46.19,S5,south,15,S5-CO2,CO2
S5-CO2-4-soil-30,605.32,34.33,S5,south,30,S5-CO2,CO2
S5-CO2-4-soil-60,625.61,35.62,S5,south,60,S5-CO2,CO2
S5-CO2-5-soil-15,829.08,65.72,S5,south,15,S5-CO2,CO2
S5-CO2-5-soil-30,770.65,59.65,S5,south,30,S5-CO2,CO2
S5-CO2-5-soil-90,890.43,68.7,S5,south,90,S5-CO2,CO2
S5-CO2-6-soil-15,752.91,49.56,S5,south,15,S5-CO2,CO2
S5-CO2-6-soil-60,466.85,20.97,S5,south,60,S5-CO2,CO2
S5-CO2-7-soil-15,947.34,63.43,S5,south,15,S5-CO2,CO2
S5-CO2-7-soil-30,628.97,40.84,S5,south,30,S5-CO2,CO2
S5-CO2-7-soil-30-D,490.05,28.97,S5,south,#NAME?,S5-CO2,CO2
S5-CO2-7-soil-60,823,55.2,S5,south,60,S5-CO2,CO2
S5-CO2-8-soil-15,617.71,41.65,S5,south,15,S5-CO2,CO2
S5-CO2-8-soil-30,467.66,26.51,S5,south,30,S5-CO2,CO2
S5-CO2-8-soil-60,409.09,24.67,S5,south,60,S5-CO2,CO2
S5-CO2-9-soil-15,926.26,66.55,S5,south,15,S5-CO2,CO2
S5-CO2-9-soil-40,632.05,43.08,S5,south,40,S5-CO2,CO2
S5-CON-10-soil-15,895.69,64.95,S5,south,15,S5-CON,CON
S5-CON-10-soil-60,718.27,51.72,S5,south,60,S5-CON,CON
S5-CON-1-soil-15,714.24,54.95,S5,south,15,S5-CON,CON
S5-CON-1-soil-30,734.69,54.19,S5,south,30,S5-CON,CON
S5-CON-1-soil-60,548.72,37.69,S5,south,60,S5-CON,CON
S5-CON-2-soil-15,1028.09,74.55,S5,south,15,S5-CON,CON
S5-CON-2-soil-15-D,924.75,64.72,S5,south,#NAME?,S5-CON,CON
S5-CON-2-soil-30,727.37,50.08,S5,south,30,S5-CON,CON
S5-CON-2-soil-60,594.16,41.51,S5,south,60,S5-CON,CON
S5-CON-3-soil-15,801.16,58.03,S5,south,15,S5-CON,CON
S5-CON-3-soil-30,487.24,34.32,S5,south,30,S5-CON,CON
S5-CON-3-soil-60,507.98,35.89,S5,south,60,S5-CON,CON
S5-CON-4-soil-15,1041.39,75.76,S5,south,15,S5-CON,CON
S5-CON-4-soil-30,781.85,55.16,S5,south,30,S5-CON,CON
S5-CON-4-soil-60,640.61,43.78,S5,south,60,S5-CON,CON
S5-CON-5-soil-15,926.39,68.59,S5,south,15,S5-CON,CON
S5-CON-5-soil-30,834.78,60.68,S5,south,30,S5-CON,CON
S5-CON-5-soil-60,987.72,71.64,S5,south,60,S5-CON,CON
S5-CON-6-soil-15,1321.28,93.71,S5,south,15,S5-CON,CON
S5-CON-6-soil-30,1135.74,75.35,S5,south,30,S5-CON,CON
S5-CON-6-soil-60,951.16,61.06,S5,south,60,S5-CON,CON
S5-CON-7-soil-30,840.44,62.51,S5,south,30,S5-CON,CON
S5-CON-7-soil-30-D,714.76,46.18,S5,south,#NAME?,S5-CON,CON
S5-CON-7-soil-60,650.97,41.42,S5,south,60,S5-CON,CON
S5-CON-8-soil-15,1045.38,72.88,S5,south,15,S5-CON,CON
S5-CON-8-soil-30,1071.81,67.23,S5,south,30,S5-CON,CON
S5-CON-8-Soil-60,521.6,30.93,S5,south,60,S5-CON,CON
S5-CON-9-soil-15,783.67,59.23,S5,south,15,S5-CON,CON
S5-CON-9-soil-60,527.75,39.01,S5,south,60,S5-CON,CON
S5-CON-9-soil-60-D,352.25,24.46,S5,south,#NAME?,S5-CON,CON
S6-CO2-10-soil-15,903.2,90.89,S6,south,15,S6-CO2,CO2
S6-CO2-10-soil-30,712.84,68.99,S6,south,30,S6-CO2,CO2
S6-CO2-1-soil-15,879.88,77.89,S6,south,15,S6-CO2,CO2
S6-CO2-1-soil-30,496.06,47.13,S6,south,30,S6-CO2,CO2
S6-CO2-1-soil-60,406.09,37.73,S6,south,60,S6-CO2,CO2
S6-CO2-2-soil-15,1115.18,94.98,S6,south,15,S6-CO2,CO2
S6-CO2-2-soil-30,731.67,70.85,S6,south,30,S6-CO2,CO2
S6-CO2-2-soil-60,410.3,37.79,S6,south,60,S6-CO2,CO2
S6-CO2-3-soil-15,1051.31,101.9,S6,south,15,S6-CO2,CO2
S6-CO2-3-soil-30,626.32,62.33,S6,south,30,S6-CO2,CO2
S6-CO2-4-soil-15,1079.44,99.27,S6,south,15,S6-CO2,CO2
S6-CO2-4-soil-30,611.32,60.68,S6,south,30,S6-CO2,CO2
S6-CO2-4-soil-60,529.85,50.23,S6,south,60,S6-CO2,CO2
S6-CO2-5-soil-15,1175.74,103.78,S6,south,15,S6-CO2,CO2
S6-CO2-5-soil-30,727.34,65.91,S6,south,30,S6-CO2,CO2
S6-CO2-5-soil-60,695.34,48.14,S6,south,60,S6-CO2,CO2
S6-CO2-6-soil-15,1048.27,88.58,S6,south,15,S6-CO2,CO2
S6-CO2-6-soil-30,793.03,68.59,S6,south,30,S6-CO2,CO2
S6-CO2-6-soil-60,559.41,43.84,S6,south,60,S6-CO2,CO2
S6-CO2-7-soil-15,1027.7,89.43,S6,south,15,S6-CO2,CO2
S6-CO2-7-soil-30,829.21,71.41,S6,south,30,S6-CO2,CO2
S6-CO2-8-soil-15,1070.1,83.28,S6,south,15,S6-CO2,CO2
S6-CO2-8-soil-30,524.22,43.91,S6,south,30,S6-CO2,CO2
S6-CO2-9-soil-15,628.15,52.1,S6,south,15,S6-CO2,CO2
S6-CO2-9-soil-30,602.91,54.47,S6,south,30,S6-CO2,CO2
S6-CON-10-soil-15,851.46,73.67,S6,south,15,S6-CON,CON
S6-CON-10-soil-30,706.12,59.57,S6,south,30,S6-CON,CON
S6-CON-1-soil-15,928.22,82.52,S6,south,15,S6-CON,CON
S6-CON-1-soil-30,732.81,64.77,S6,south,30,S6-CON,CON
S6-CON-2-soil-15,1050.84,83.86,S6,south,15,S6-CON,CON
S6-CON-2-soil-30,873.08,73.05,S6,south,30,S6-CON,CON
S6-CON-3-soil-15,796.24,65.96,S6,south,15,S6-CON,CON
S6-CON-3-soil-30,689.75,56.62,S6,south,30,S6-CON,CON
S6-CON-3-soil-60,627.1,49.46,S6,south,60,S6-CON,CON
S6-CON-4-soil-15,1028,88.65,S6,south,15,S6-CON,CON
S6-CON-4-soil-30,717.7,61.25,S6,south,30,S6-CON,CON
S6-CON-5-soil-15,916.55,79.42,S6,south,15,S6-CON,CON
S6-CON-5-soil-30,581.79,48.94,S6,south,30,S6-CON,CON
S6-CON-6-soil-15,906.08,77.79,S6,south,15,S6-CON,CON
S6-CON-6-soil-30,657.99,57.02,S6,south,30,S6-CON,CON
S6-CON-7-soil-15,906.38,79.7,S6,south,15,S6-CON,CON
S6-CON-7-soil-30,723.29,61.25,S6,south,30,S6-CON,CON
S6-CON-8-soil-15,990.05,91.18,S6,south,15,S6-CON,CON
S6-CON-8-soil-30,419.88,38.14,S6,south,30,S6-CON,CON
S6-CON-9-soil-15,842.67,75.16,S6,south,15,S6-CON,CON
S6-CON-9-soil-30,747.46,65.09,S6,south,30,S6-CON,CON
